k,features,r2_train,r2_val,r2_test,rmse_val,rmse_test,mae_val,mae_test,pct_of_baseline_val,pct_of_baseline_test
3,"['budget_log', 'vote_count_log', 'release_year']",0.824021899786749,0.6990127908010495,0.6924089873325967,1.5940674093122724,1.698997505684402,1.0273148730028625,1.12036828894783,94.80262631986533,94.96078798655047
5,"['budget_log', 'vote_count_log', 'release_year', 'runtime', 'popularity_log']",0.8535249755608918,0.711381220173859,0.7168632082007926,1.5609714352000077,1.6300618140519967,0.9918892744215851,1.065841855257629,96.48007715256092,98.31457473069274
7,"['budget_log', 'vote_count_log', 'release_year', 'runtime', 'popularity_log', 'vote_average', 'cast_size']",0.8629406756050053,0.7121261364170266,0.7162993928749064,1.5589557239719072,1.6316839924167172,0.9898252787605641,1.0541048802943584,96.581105370027,98.2372499867848
10,"['budget_log', 'vote_count_log', 'release_year', 'runtime', 'popularity_log', 'vote_average', 'cast_size', 'production_company_count', 'production_country_count', 'release_month']",0.8676847910386791,0.7181391728724256,0.7183641550654776,1.5425882666627844,1.6257354824849328,0.9724010189440664,1.0538188271486408,97.39661497962322,98.52042286323288
26,"['budget_log', 'vote_count_log', 'release_year', 'runtime', 'popularity_log', 'vote_average', 'cast_size', 'production_company_count', 'production_country_count', 'release_month', 'lang_en', 'genre_Drama', 'lang_fr', 'director_count', 'genre_Thriller', 'genre_Comedy', 'genre_Horror', 'genre_Action', 'genre_Crime', 'lang_es', 'genre_Adventure', 'genre_Family', 'genre_Science Fiction', 'genre_Romance', 'lang_ru', 'lang_hi']",0.87615760178363,0.7371606025836658,0.7292994520077927,1.4896282301437886,1.5938611605075301,0.9421091870816601,1.0266415074933812,99.97636962319388,100.02014980714435
