group,num_features,features,r2_val_without,r2_test_without,r2_drop_val,r2_drop_test,r2_drop_pct_val,r2_drop_pct_test,rmse_val_without,rmse_test_without,rmse_increase_val,rmse_increase_test
Financial,1,budget_log,0.5726919232623073,0.5416909655022097,0.16464291432180245,0.18746156367716504,22.329463620796457,25.709512917433585,1.8993421820829959,2.073887192322197,0.4102077675638942,0.47959355610381915
Popularity,3,"vote_count_log, popularity_log, vote_average",0.6583253282922101,0.6518681810924571,0.07900950929189965,0.07728434808691764,10.715553540203752,10.599201812259688,1.6983963802659587,1.8074978106372959,0.20926196574685707,0.21320417441891815
Temporal,2,"release_year, release_month",0.7178598037517243,0.7166786519599608,0.01947503383238547,0.012473877219413954,2.6412740643309016,1.7107363302233467,1.5433525530651966,1.6305929867603883,0.05421813854609492,0.03629935054201061
Languages,5,"lang_en, lang_hi, lang_fr, lang_ru, lang_es",0.7290809476273332,0.7220899415646559,0.008253889956776561,0.007062587614718896,1.1194222130912155,0.9686022241008325,1.5123504385015774,1.6149461783884171,0.023216023982475686,0.020652542170039423
Content,3,"runtime, cast_size, director_count",0.7324387928895302,0.7242118779888317,0.004896044694579604,0.004940651190543099,0.6640191735170928,0.6775881578719282,1.502948972901876,1.608769037037435,0.013814558382774234,0.014475400819057294
Genres,10,"genre_Drama, genre_Comedy, genre_Action, genre_Thriller, genre_Romance...",0.7279060314495387,0.7258525352241146,0.009428806134571088,0.00329999395526015,1.2787685667294295,0.45257937443817553,1.5156262558677875,1.6039766338130363,0.026491841348685874,0.009682997594658627
Production,2,"production_company_count, production_country_count",0.7340324693966144,0.728988950738443,0.003302368187495408,0.00016357844093173313,0.44787903936774154,0.022434049720136417,1.4984662756250666,1.59477500069656,0.009331861105964956,0.0004813644781822557
