mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9755831241607666,0.15783318571086896,0.2955267906188965,0.16787507658751577,8,sqrt,8,15,150,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 150}",0.6901301643441282,0.6805671688344443,0.6503709244602836,0.7142165280812269,0.695105384973552,0.6860780341387269,0.020952589251159306,18,0.7439548108322975,0.7372958456813614,0.7464151924911262,0.7290484012870306,0.7380456163909028,0.7389519733365437,0.006039420571897855
1.3287801265716552,0.08049728791166752,0.19081645011901854,0.09490086285170908,8,sqrt,8,15,200,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 200}",0.6904311013276121,0.6828876711651777,0.6514180412164794,0.7153408303718234,0.6960881925555208,0.6872331673273228,0.02088198060872698,16,0.7442258618605115,0.7375943971297886,0.7462790868485035,0.7296556374973259,0.7393891888129691,0.7394288344298197,0.005810671916990001
0.9680457592010498,0.18191295662511664,0.2570929050445557,0.14053320194727054,8,sqrt,8,25,150,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 25, 'n_estimators': 150}",0.6884503054423622,0.677861335214418,0.6496514481888799,0.7116131572211765,0.6902167596608146,0.6835586011455301,0.020186489655506585,20,0.7376596074879616,0.7303218384037107,0.7413917178323013,0.7218411232593862,0.7318288102260969,0.7326086194418913,0.006699727480234539
1.3205724716186524,0.1377889235948293,0.14395551681518554,0.061644634286668484,8,sqrt,8,25,200,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 25, 'n_estimators': 200}",0.6876274863945302,0.6776806739464492,0.6509964402118837,0.7125333972412822,0.6924072709376498,0.684249053746359,0.02013382388870199,19,0.7360635521828554,0.7301865219405048,0.7433809833611087,0.7228102214538455,0.7330467533907432,0.7330976064658115,0.0067653819389644
0.9285175800323486,0.0667617982700794,0.13526744842529298,0.05022704661287035,8,sqrt,12,15,150,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 15, 'n_estimators': 150}",0.6829668417443049,0.6696291517678304,0.6461135631825121,0.7099606410857648,0.6878374277861298,0.6793015251133083,0.021077348960019462,22,0.7265510045580343,0.7201666323321028,0.7312273924095043,0.7152370156297077,0.7230012539794735,0.7232366597817644,0.005446310314643827
1.2355136394500732,0.08766471225307165,0.23838725090026855,0.10374960461705805,8,sqrt,12,15,200,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 15, 'n_estimators': 200}",0.6812987633104957,0.6711317509295702,0.6485194323983274,0.7089860626659035,0.6877316721470987,0.6795335362902791,0.019850649386530493,21,0.7265434544218635,0.72157921615953,0.7340005277923697,0.7158003594364534,0.7223151772120848,0.7240477470044603,0.006039888165193111
0.9559367179870606,0.13792558598316126,0.17884345054626466,0.08376942860832898,8,sqrt,12,25,150,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 25, 'n_estimators': 150}",0.6813086653694594,0.6669205449306387,0.6454954948941405,0.7078823669849206,0.6869652542173903,0.6777144652793099,0.020799848233860798,24,0.7267293009714972,0.7184444326001165,0.7314357426653444,0.7142358608139262,0.7220552137449305,0.722580110159163,0.006043903601733818
1.3625672340393067,0.13839570357719455,0.2964644908905029,0.16546493869174989,8,sqrt,12,25,200,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 25, 'n_estimators': 200}",0.6805368538937608,0.6675444454487447,0.6478235723510677,0.7076801501653073,0.6871530062061026,0.6781476056129966,0.01995470337370623,23,0.7259418206523436,0.7193363929712708,0.7342481629815335,0.7150499992218725,0.7219087885604679,0.7232970328774977,0.006519963309667782
1.2597848892211914,0.2423536057530032,0.23960585594177247,0.11699339835435352,10,sqrt,8,15,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 150}",0.6968994416767968,0.6873757550777354,0.6616423628831595,0.7283087923831253,0.7051644406478143,0.6958781585337264,0.021833023771298147,6,0.767987040287831,0.7614441000262817,0.7728918236851708,0.755365717145891,0.7642925351332321,0.7643962432556813,0.005921908763248181
1.8496312141418456,0.3296801622816161,0.5207877635955811,0.4136484749918004,10,sqrt,8,15,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 15, 'n_estimators': 200}",0.6973524015266648,0.6905514663370953,0.6635284237881767,0.7263005813064578,0.7051003509132378,0.6965666447743264,0.020421826330655896,5,0.7687222446079455,0.76291185528729,0.7737266090670434,0.7546487661100474,0.7647662546281295,0.7649551459400912,0.0063492012030101
1.138956356048584,0.13266305783870103,0.20071473121643066,0.0701828745207014,10,sqrt,8,25,150,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 25, 'n_estimators': 150}",0.6926588508609892,0.681207557813048,0.6652303269364959,0.7233609648938777,0.7017829945079888,0.69284813900248,0.019540453886864328,8,0.7566665271560619,0.7493733131578095,0.7639897361304386,0.7458333832051747,0.755378255561212,0.7542482430421393,0.006270510687195848
