model,R² (95% CI),RMSE (95% CI),MAE (95% CI)
Baseline (35 Features),"0.7773 [0.7280, 0.8170]","$1 [$1, $2]","$1 [$1, $1]"
Top-3 Features,"0.7158 [0.6582, 0.7727]","$2 [$1, $2]","$1 [$1, $1]"
Top-5 Features,"0.7512 [0.6998, 0.7970]","$2 [$1, $2]","$1 [$1, $1]"
Top-7 Features,"0.7619 [0.7130, 0.8064]","$1 [$1, $2]","$1 [$1, $1]"
Top-10 Features,"0.7623 [0.7117, 0.8070]","$1 [$1, $2]","$1 [$1, $1]"
